捷運地址,Lat,Long
台北市文山區新光路二段32號,24.9981233, 121.5793587
台北市文山區木柵路四段135號,24.9983124, 121.5731673
台北市文山區萬芳路60號,24.998351, 121.5685001
台北市文山區興隆路三段113號,24.9992125, 121.5579839
台北市文山區辛亥路四段128號,25.0054756, 121.5565917
台北市大安區和平東路三段410號,25.018567, 121.5588356
台北市大安區和平東路三段168號,25.0239527, 121.5528163
台北市大安區復興南路二段235號,25.0261461, 121.5436466
台北市大安區信義路四段2號,25.0330544, 121.5440473
台北市大安區忠孝東路四段47號,25.0417939, 121.5449721
台北市松山區南京東路三段253號,25.0524473, 121.5440487
台北市中山區復興北路376號,25.0608158, 121.5439767
台北市松山區敦化北路338號,25.063988, 121.5520633
台北市中山區北安路534之1號,25.0801815, 121.5472474
台北市中山區北安路798號,25.0846909, 121.5556055
台北市內湖區內湖路一段256號,25.0818499, 121.567085
台北市內湖區內湖路一段663號,25.0801772, 121.5756865
台北市內湖區文德路214號,25.0783742, 121.5845868
台北市內湖區成功路四段186號,25.0842145, 121.5941665
台北市內湖區成功路五段11號,25.0838626, 121.6022263
台北市內湖區康寧路三段16號,25.0725219, 121.6072978
台北市內湖區康寧路三段235號,25.0671258, 121.6117183
台北市南港區經貿二路183號,25.0600356, 121.6160813
台北市南港區南港路一段32號,24.9981233, 121.5793587
台北市信義區信義路五段152號B1,25.0326708, 121.5695364
台北市信義區信義路五段20號B1,25.0327831, 121.5636361
台北市大安區信義路四段212之1號B1,25.0330772, 121.552085
台北市大安區信義路四段2號,25.0330544, 121.5440473
台北市大安區信義路三段100號B1,25.0333634, 121.5362676
台北市大安區信義路二段166號B1,25.0336009, 121.5292688
台北市中正區羅斯福路一段8之1號B1,25.032422, 121.51827
台北市中正區公園路52號B1,25.041003, 121.515715
台北市中正區忠孝西路一段49號,25.0465213, 121.5172446
台北市中山區南京西路16號,25.0523485, 121.5203341
台北市大同區民生西路47號,25.0578695, 121.5206454
台北市大同區民權西路72號,25.0620254, 121.5197378
台北市大同區酒泉街9之1號,25.071353, 121.520118
台北市士林區中山北路五段65號,25.084873, 121.525078
台北市士林區福德路1號,25.131841, 121.498633
台北市士林區福國路70號,25.1030599, 121.522514
台北市北投區明德路95號,25.109721, 121.518848
台北市北投區石牌路一段200號,25.113857, 121.5160542
台北市北投區東華街二段301號,25.1208763, 121.5062194
台北市北投區三合街二段489號,25.1260169, 121.5010117
台北市北投區光明路1號,25.131841, 121.498633
台北市北投區大業路700號,25.1369329, 121.50253
台北市北投區中央北路三段53巷10號,25.137621, 121.4853756
台北市北投區中央北路四段301號,25.1310975, 121.4732346
台北市北投區大度路三段296巷51號,25.1254249, 121.4670522
新北市淡水區民權路50號,25.1360968, 121.4596903
新北市淡水區中正東路二段68號,25.1547244, 121.4589193
新北市淡水區中正路1號,25.131841, 121.498633
新北市新店區北宜路一段2號,25.0330544, 121.5440473
新北市新店區北新路一段295號,24.967498, 121.541192
新北市新店區北新路二段150號,24.9751965, 121.5431453
新北市新店區中央路151號4樓,24.9731663, 121.5300712
新北市新店區北新路三段190號,24.9831, 121.5418
台北市文山區羅斯福路六段393號,24.9921272, 121.5407682
台北市文山區羅斯福路五段214號,25.0025772, 121.5385812
台北市中正區羅斯福路四段74號B1,25.0143386, 121.5344083
台北市中正區羅斯福路三段126之5號B1,25.0205742, 121.5279607
台北市中正區羅斯福路二段164之1號B1,25.025472, 121.5233607
台北市中正區羅斯福路一段8之1號B1,25.032422, 121.51827
台北市中正區愛國西路22號B1,25.0352462, 121.5113544
台北市中正區寶慶路32之1號B1,25.0414733, 121.5083705
台北市大同區塔城街10號,25.0489202, 121.5099903
台北市中山區南京西路16號,25.0523485, 121.5203341
台北市中山區松江路126號B1,25.0524892, 121.5327938
台北市松山區南京東路三段253號,25.0524473, 121.5440487
台北市松山區南京東路四段10-1號,25.0513471, 121.5508806
台北市松山區南京東路五段237號,25.051652, 121.564708
台北市松山區八德路四段742號,25.049831, 121.5775002
新北市中和區捷運路6號,24.9901276, 121.5091044
新北市中和區景平路486號,24.9938396, 121.504825
新北市中和區中和路388號,25.0023426, 121.5109643
新北市永和區永和路二段168號B1,25.012836, 121.5154203
台北市中正區羅斯福路二段164之1號B1,25.025472, 121.5233607
台北市大安區信義路二段166號B1,25.0336009, 121.5292688
台北市大安區新生南路一段67號,25.0420248, 121.5331036
